
2025/02/15 (21:51:49) | ===> btop++ v.1.4.0
2025/02/15 (21:51:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (19:17:35) | ===> btop++ v.1.4.0
2025/02/15 (19:17:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (19:17:48) | ===> btop++ v.1.4.0
2025/02/15 (19:17:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (23:30:36) | ===> btop++ v.1.4.0
2025/02/15 (23:30:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/16 (11:12:59) | ===> btop++ v.1.4.0
2025/02/16 (11:12:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (17:02:07) | ===> btop++ v.1.4.0
2025/02/17 (17:02:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (22:09:53) | ===> btop++ v.1.4.0
2025/02/17 (22:09:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (22:10:08) | ===> btop++ v.1.4.0
2025/02/17 (22:10:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (23:44:28) | ===> btop++ v.1.4.0
2025/02/17 (23:44:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/18 (23:57:59) | ===> btop++ v.1.4.0
2025/02/18 (23:57:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/18 (23:59:01) | ===> btop++ v.1.4.0
2025/02/18 (23:59:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (14:41:58) | ===> btop++ v.1.4.0
2025/02/19 (14:41:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (15:02:36) | ===> btop++ v.1.4.0
2025/02/19 (15:02:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (15:03:34) | ===> btop++ v.1.4.0
2025/02/19 (15:03:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (15:31:46) | ===> btop++ v.1.4.0
2025/02/19 (15:31:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (16:16:38) | ===> btop++ v.1.4.0
2025/02/19 (16:16:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/19 (18:39:36) | ===> btop++ v.1.4.0
2025/02/19 (18:39:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/20 (14:52:39) | ===> btop++ v.1.4.0
2025/02/20 (14:52:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/23 (09:06:56) | ===> btop++ v.1.4.0
2025/02/23 (09:06:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/23 (12:21:10) | ===> btop++ v.1.4.0
2025/02/23 (12:21:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
